mV,timestamp,plant_id
15.813375,2024-02-19 19:05:00.000,CdRM-t0-bcc86b-8
17.579826,2024-02-19 19:10:00.000,CdRM-t0-bcc86b-8
16.938824,2024-02-19 19:15:00.000,CdRM-t0-bcc86b-8
17.335243,2024-02-19 19:20:00.000,CdRM-t0-bcc86b-8
17.955032,2024-02-19 19:25:00.000,CdRM-t0-bcc86b-8
18.545965,2024-02-19 19:30:00.000,CdRM-t0-bcc86b-8
20.062649,2024-02-19 19:35:00.000,CdRM-t0-bcc86b-8
26.153006,2024-02-19 19:40:00.000,CdRM-t0-bcc86b-8
24.676954,2024-02-19 19:45:00.000,CdRM-t0-bcc86b-8
24.687222,2024-02-19 19:50:00.000,CdRM-t0-bcc86b-8
25.140371,2024-02-19 19:55:00.000,CdRM-t0-bcc86b-8
25.200838,2024-02-19 20:00:00.000,CdRM-t0-bcc86b-8
24.73642,2024-02-19 20:05:00.000,CdRM-t0-bcc86b-8
24.787174,2024-02-19 20:10:00.000,CdRM-t0-bcc86b-8
24.790897,2024-02-19 20:15:00.000,CdRM-t0-bcc86b-8
25.246523,2024-02-19 20:20:00.000,CdRM-t0-bcc86b-8
25.780907,2024-02-19 20:25:00.000,CdRM-t0-bcc86b-8
26.219126,2024-02-19 20:30:00.000,CdRM-t0-bcc86b-8
26.422949,2024-02-19 20:35:00.000,CdRM-t0-bcc86b-8
26.822966,2024-02-19 20:40:00.000,CdRM-t0-bcc86b-8
27.140121,2024-02-19 20:45:00.000,CdRM-t0-bcc86b-8
28.908638,2024-02-19 20:50:00.000,CdRM-t0-bcc86b-8
38.49258,2024-02-19 20:55:00.000,CdRM-t0-bcc86b-8
31.579693,2024-02-19 21:00:00.000,CdRM-t0-bcc86b-8
29.24988,2024-02-19 21:05:00.000,CdRM-t0-bcc86b-8
35.45968,2024-02-19 21:10:00.000,CdRM-t0-bcc86b-8
40.207275,2024-02-19 21:15:00.000,CdRM-t0-bcc86b-8
38.529617,2024-02-19 21:20:00.000,CdRM-t0-bcc86b-8
36.079144,2024-02-19 21:25:00.000,CdRM-t0-bcc86b-8
36.904797,2024-02-19 21:30:00.000,CdRM-t0-bcc86b-8
36.116287,2024-02-19 21:35:00.000,CdRM-t0-bcc86b-8
36.97404,2024-02-19 21:40:00.000,CdRM-t0-bcc86b-8
