mV,timestamp,plant_id
2.2321587,2024-02-19 19:05:00.000,CdRM-t0-bcc86b-7
2.3894184,2024-02-19 19:10:00.000,CdRM-t0-bcc86b-7
2.2946076,2024-02-19 19:15:00.000,CdRM-t0-bcc86b-7
2.2772105,2024-02-19 19:20:00.000,CdRM-t0-bcc86b-7
2.2592292,2024-02-19 19:25:00.000,CdRM-t0-bcc86b-7
2.2502563,2024-02-19 19:30:00.000,CdRM-t0-bcc86b-7
2.1833532,2024-02-19 19:35:00.000,CdRM-t0-bcc86b-7
2.1225483,2024-02-19 19:40:00.000,CdRM-t0-bcc86b-7
2.150265,2024-02-19 19:45:00.000,CdRM-t0-bcc86b-7
2.1632152,2024-02-19 19:50:00.000,CdRM-t0-bcc86b-7
2.1359298,2024-02-19 19:55:00.000,CdRM-t0-bcc86b-7
2.117703,2024-02-19 20:00:00.000,CdRM-t0-bcc86b-7
1.9726304,2024-02-19 20:05:00.000,CdRM-t0-bcc86b-7
1.9734704,2024-02-19 20:10:00.000,CdRM-t0-bcc86b-7
2.004054,2024-02-19 20:15:00.000,CdRM-t0-bcc86b-7
2.00767,2024-02-19 20:20:00.000,CdRM-t0-bcc86b-7
2.0011916,2024-02-19 20:25:00.000,CdRM-t0-bcc86b-7
2.018711,2024-02-19 20:30:00.000,CdRM-t0-bcc86b-7
1.9733449,2024-02-19 20:35:00.000,CdRM-t0-bcc86b-7
2.027219,2024-02-19 20:40:00.000,CdRM-t0-bcc86b-7
1.9904604,2024-02-19 20:45:00.000,CdRM-t0-bcc86b-7
1.9930304,2024-02-19 20:50:00.000,CdRM-t0-bcc86b-7
1.9788371,2024-02-19 20:55:00.000,CdRM-t0-bcc86b-7
1.9888971,2024-02-19 21:00:00.000,CdRM-t0-bcc86b-7
1.9509346,2024-02-19 21:05:00.000,CdRM-t0-bcc86b-7
1.9555231,2024-02-19 21:10:00.000,CdRM-t0-bcc86b-7
1.8714345,2024-02-19 21:15:00.000,CdRM-t0-bcc86b-7
1.8078625,2024-02-19 21:20:00.000,CdRM-t0-bcc86b-7
1.8290197,2024-02-19 21:25:00.000,CdRM-t0-bcc86b-7
1.895288,2024-02-19 21:30:00.000,CdRM-t0-bcc86b-7
1.8668212,2024-02-19 21:35:00.000,CdRM-t0-bcc86b-7
1.857364,2024-02-19 21:40:00.000,CdRM-t0-bcc86b-7
1.8558446,2024-02-19 21:45:00.000,CdRM-t0-bcc86b-7
1.8384722,2024-02-19 21:50:00.000,CdRM-t0-bcc86b-7
1.7852745,2024-02-19 21:55:00.000,CdRM-t0-bcc86b-7
1.7194209,2024-02-19 22:00:00.000,CdRM-t0-bcc86b-7
1.7087505,2024-02-19 22:05:00.000,CdRM-t0-bcc86b-7
1.6935476,2024-02-19 22:10:00.000,CdRM-t0-bcc86b-7
1.6471807,2024-02-19 22:15:00.000,CdRM-t0-bcc86b-7
1.6172395,2024-02-19 22:20:00.000,CdRM-t0-bcc86b-7
1.6302848,2024-02-19 22:25:00.000,CdRM-t0-bcc86b-7
1.6577893,2024-02-19 22:30:00.000,CdRM-t0-bcc86b-7
1.6993864,2024-02-19 22:35:00.000,CdRM-t0-bcc86b-7
1.7115803,2024-02-19 22:40:00.000,CdRM-t0-bcc86b-7
1.6937189,2024-02-19 22:45:00.000,CdRM-t0-bcc86b-7
1.6936295,2024-02-19 22:50:00.000,CdRM-t0-bcc86b-7
1.692232,2024-02-19 22:55:00.000,CdRM-t0-bcc86b-7
1.6739913,2024-02-19 23:00:00.000,CdRM-t0-bcc86b-7
1.6714561,2024-02-19 23:05:00.000,CdRM-t0-bcc86b-7
1.6670604,2024-02-19 23:10:00.000,CdRM-t0-bcc86b-7
1.6509732,2024-02-19 23:15:00.000,CdRM-t0-bcc86b-7
1.6460357,2024-02-19 23:20:00.000,CdRM-t0-bcc86b-7
1.6327847,2024-02-19 23:25:00.000,CdRM-t0-bcc86b-7
1.6283379,2024-02-19 23:30:00.000,CdRM-t0-bcc86b-7
1.61036,2024-02-19 23:35:00.000,CdRM-t0-bcc86b-7
1.5947936,2024-02-19 23:40:00.000,CdRM-t0-bcc86b-7
1.5869164,2024-02-19 23:45:00.000,CdRM-t0-bcc86b-7
1.5762982,2024-02-19 23:50:00.000,CdRM-t0-bcc86b-7
1.5640686,2024-02-19 23:55:00.000,CdRM-t0-bcc86b-7
1.540051,2024-02-19 23:59:59.933,CdRM-t0-bcc86b-7
1.4321371,2024-02-20 00:05:02.202,CdRM-t0-bcc86b-7
