mV,timestamp,plant_id
-104.30543,2024-02-19 19:05:00.000,CdRM-t0-bcc86b-2
-114.284996,2024-02-19 19:10:00.000,CdRM-t0-bcc86b-2
-112.905106,2024-02-19 19:15:00.000,CdRM-t0-bcc86b-2
-112.842705,2024-02-19 19:20:00.000,CdRM-t0-bcc86b-2
-113.2416,2024-02-19 19:25:00.000,CdRM-t0-bcc86b-2
-113.29724,2024-02-19 19:30:00.000,CdRM-t0-bcc86b-2
-113.728065,2024-02-19 19:35:00.000,CdRM-t0-bcc86b-2
-112.74201,2024-02-19 19:40:00.000,CdRM-t0-bcc86b-2
-111.740395,2024-02-19 19:45:00.000,CdRM-t0-bcc86b-2
-111.78502,2024-02-19 19:50:00.000,CdRM-t0-bcc86b-2
-111.928055,2024-02-19 19:55:00.000,CdRM-t0-bcc86b-2
-111.83792,2024-02-19 20:00:00.000,CdRM-t0-bcc86b-2
-111.823074,2024-02-19 20:05:00.000,CdRM-t0-bcc86b-2
-112.099174,2024-02-19 20:10:00.000,CdRM-t0-bcc86b-2
-112.9465,2024-02-19 20:15:00.000,CdRM-t0-bcc86b-2
-113.52098,2024-02-19 20:20:00.000,CdRM-t0-bcc86b-2
-114.81007,2024-02-19 20:25:00.000,CdRM-t0-bcc86b-2
-114.90747,2024-02-19 20:30:00.000,CdRM-t0-bcc86b-2
-115.284424,2024-02-19 20:35:00.000,CdRM-t0-bcc86b-2
-116.71079,2024-02-19 20:40:00.000,CdRM-t0-bcc86b-2
-116.01619,2024-02-19 20:45:00.000,CdRM-t0-bcc86b-2
-115.25993,2024-02-19 20:50:00.000,CdRM-t0-bcc86b-2
-115.39362,2024-02-19 20:55:00.000,CdRM-t0-bcc86b-2
-115.62067,2024-02-19 21:00:00.000,CdRM-t0-bcc86b-2
-116.1459,2024-02-19 21:05:00.000,CdRM-t0-bcc86b-2
-115.33899,2024-02-19 21:10:00.000,CdRM-t0-bcc86b-2
-115.923805,2024-02-19 21:15:00.000,CdRM-t0-bcc86b-2
-114.832504,2024-02-19 21:20:00.000,CdRM-t0-bcc86b-2
-114.25194,2024-02-19 21:25:00.000,CdRM-t0-bcc86b-2
-115.05371,2024-02-19 21:30:00.000,CdRM-t0-bcc86b-2
-115.76386,2024-02-19 21:35:00.000,CdRM-t0-bcc86b-2
-117.162025,2024-02-19 21:40:00.000,CdRM-t0-bcc86b-2
-117.38391,2024-02-19 21:45:00.000,CdRM-t0-bcc86b-2
-116.428894,2024-02-19 21:50:00.000,CdRM-t0-bcc86b-2
-116.530716,2024-02-19 21:55:00.000,CdRM-t0-bcc86b-2
-116.08786,2024-02-19 22:00:00.000,CdRM-t0-bcc86b-2
-115.47399,2024-02-19 22:05:00.000,CdRM-t0-bcc86b-2
-115.808685,2024-02-19 22:10:00.000,CdRM-t0-bcc86b-2
-116.14496,2024-02-19 22:15:00.000,CdRM-t0-bcc86b-2
-116.1602,2024-02-19 22:20:00.000,CdRM-t0-bcc86b-2
-116.884476,2024-02-19 22:25:00.000,CdRM-t0-bcc86b-2
-118.71292,2024-02-19 22:30:00.000,CdRM-t0-bcc86b-2
-117.895744,2024-02-19 22:35:00.000,CdRM-t0-bcc86b-2
-116.99227,2024-02-19 22:40:00.000,CdRM-t0-bcc86b-2
-116.11615,2024-02-19 22:45:00.000,CdRM-t0-bcc86b-2
-116.224,2024-02-19 22:50:00.000,CdRM-t0-bcc86b-2
-115.93907,2024-02-19 22:55:00.000,CdRM-t0-bcc86b-2
-116.461845,2024-02-19 23:00:00.000,CdRM-t0-bcc86b-2
-116.47135,2024-02-19 23:05:00.000,CdRM-t0-bcc86b-2
