mV,timestamp,plant_id
0.19049671,2024-02-19 19:05:00.000,CdRM-t0-bcc86b-3
0.1456828,2024-02-19 19:10:00.000,CdRM-t0-bcc86b-3
0.09928159,2024-02-19 19:15:00.000,CdRM-t0-bcc86b-3
0.07397726,2024-02-19 19:20:00.000,CdRM-t0-bcc86b-3
0.07403062,2024-02-19 19:25:00.000,CdRM-t0-bcc86b-3
0.019350603,2024-02-19 19:30:00.000,CdRM-t0-bcc86b-3
0.017468506,2024-02-19 19:35:00.000,CdRM-t0-bcc86b-3
-0.08180249,2024-02-19 19:40:00.000,CdRM-t0-bcc86b-3
-0.12014456,2024-02-19 19:45:00.000,CdRM-t0-bcc86b-3
-0.16881952,2024-02-19 19:50:00.000,CdRM-t0-bcc86b-3
-0.22832967,2024-02-19 19:55:00.000,CdRM-t0-bcc86b-3
-0.293837,2024-02-19 20:00:00.000,CdRM-t0-bcc86b-3
-0.4313284,2024-02-19 20:05:00.000,CdRM-t0-bcc86b-3
-0.39723608,2024-02-19 20:10:00.000,CdRM-t0-bcc86b-3
-0.33590886,2024-02-19 20:15:00.000,CdRM-t0-bcc86b-3
2.557694,2024-02-19 20:20:00.000,CdRM-t0-bcc86b-3
3.1389499,2024-02-19 20:25:00.000,CdRM-t0-bcc86b-3
2.6142702,2024-02-19 20:30:00.000,CdRM-t0-bcc86b-3
2.0513678,2024-02-19 20:35:00.000,CdRM-t0-bcc86b-3
1.6010542,2024-02-19 20:40:00.000,CdRM-t0-bcc86b-3
1.224783,2024-02-19 20:45:00.000,CdRM-t0-bcc86b-3
0.99505216,2024-02-19 20:50:00.000,CdRM-t0-bcc86b-3
0.8170228,2024-02-19 20:55:00.000,CdRM-t0-bcc86b-3
0.66566294,2024-02-19 21:00:00.000,CdRM-t0-bcc86b-3
0.51250273,2024-02-19 21:05:00.000,CdRM-t0-bcc86b-3
0.39487588,2024-02-19 21:10:00.000,CdRM-t0-bcc86b-3
0.3080455,2024-02-19 21:15:00.000,CdRM-t0-bcc86b-3
0.18615466,2024-02-19 21:20:00.000,CdRM-t0-bcc86b-3
0.17421308,2024-02-19 21:25:00.000,CdRM-t0-bcc86b-3
0.10753691,2024-02-19 21:30:00.000,CdRM-t0-bcc86b-3
0.09788359,2024-02-19 21:35:00.000,CdRM-t0-bcc86b-3
0.124226876,2024-02-19 21:40:00.000,CdRM-t0-bcc86b-3
0.10172947,2024-02-19 21:45:00.000,CdRM-t0-bcc86b-3
0.1337505,2024-02-19 21:50:00.000,CdRM-t0-bcc86b-3
0.16493294,2024-02-19 21:55:00.000,CdRM-t0-bcc86b-3
0.2041708,2024-02-19 22:00:00.000,CdRM-t0-bcc86b-3
0.20962071,2024-02-19 22:05:00.000,CdRM-t0-bcc86b-3
0.21406575,2024-02-19 22:10:00.000,CdRM-t0-bcc86b-3
0.26138154,2024-02-19 22:15:00.000,CdRM-t0-bcc86b-3
0.25751567,2024-02-19 22:20:00.000,CdRM-t0-bcc86b-3
0.28056437,2024-02-19 22:25:00.000,CdRM-t0-bcc86b-3
0.32528117,2024-02-19 22:30:00.000,CdRM-t0-bcc86b-3
0.31458297,2024-02-19 22:35:00.000,CdRM-t0-bcc86b-3
0.32826945,2024-02-19 22:40:00.000,CdRM-t0-bcc86b-3
0.32588434,2024-02-19 22:45:00.000,CdRM-t0-bcc86b-3
0.3463042,2024-02-19 22:50:00.000,CdRM-t0-bcc86b-3
0.33097357,2024-02-19 22:55:00.000,CdRM-t0-bcc86b-3
0.35356525,2024-02-19 23:00:00.000,CdRM-t0-bcc86b-3
0.31684014,2024-02-19 23:05:00.000,CdRM-t0-bcc86b-3
0.30306867,2024-02-19 23:10:00.000,CdRM-t0-bcc86b-3
0.3169841,2024-02-19 23:15:00.000,CdRM-t0-bcc86b-3
0.3254035,2024-02-19 23:20:00.000,CdRM-t0-bcc86b-3
0.34252962,2024-02-19 23:25:00.000,CdRM-t0-bcc86b-3
0.30561766,2024-02-19 23:30:00.000,CdRM-t0-bcc86b-3
0.29520732,2024-02-19 23:35:00.000,CdRM-t0-bcc86b-3
0.31130815,2024-02-19 23:40:00.000,CdRM-t0-bcc86b-3
0.3108506,2024-02-19 23:45:00.000,CdRM-t0-bcc86b-3
0.33201662,2024-02-19 23:50:00.000,CdRM-t0-bcc86b-3
0.3116964,2024-02-19 23:55:00.000,CdRM-t0-bcc86b-3
0.28101218,2024-02-19 23:59:59.933,CdRM-t0-bcc86b-3
0.21935037,2024-02-20 00:05:02.202,CdRM-t0-bcc86b-3
0.25135708,2024-02-20 00:10:02.202,CdRM-t0-bcc86b-3
0.24618234,2024-02-20 00:15:02.202,CdRM-t0-bcc86b-3
0.24989757,2024-02-20 00:20:02.202,CdRM-t0-bcc86b-3
0.25247043,2024-02-20 00:25:02.202,CdRM-t0-bcc86b-3
0.23124203,2024-02-20 00:30:02.202,CdRM-t0-bcc86b-3
0.24050617,2024-02-20 00:35:02.202,CdRM-t0-bcc86b-3
0.23372865,2024-02-20 00:40:02.202,CdRM-t0-bcc86b-3
