mV,timestamp,plant_id
-6.189823,2024-02-20 02:05:02.202,CdRM-t0-bcc86b-5
-5.7780113,2024-02-20 02:10:02.202,CdRM-t0-bcc86b-5
-5.508772,2024-02-20 02:15:02.202,CdRM-t0-bcc86b-5
-5.157752,2024-02-20 02:20:02.202,CdRM-t0-bcc86b-5
-5.0672946,2024-02-20 02:25:02.202,CdRM-t0-bcc86b-5
-5.0069118,2024-02-20 02:30:02.202,CdRM-t0-bcc86b-5
-4.736774,2024-02-20 02:35:02.202,CdRM-t0-bcc86b-5
-4.6249495,2024-02-20 02:40:02.202,CdRM-t0-bcc86b-5
-4.3253384,2024-02-20 02:45:02.202,CdRM-t0-bcc86b-5
-4.650863,2024-02-20 02:50:02.202,CdRM-t0-bcc86b-5
-4.9675183,2024-02-20 02:55:02.202,CdRM-t0-bcc86b-5
-5.0783095,2024-02-20 03:00:02.202,CdRM-t0-bcc86b-5
-4.9667315,2024-02-20 03:05:02.202,CdRM-t0-bcc86b-5
-4.946448,2024-02-20 03:10:02.202,CdRM-t0-bcc86b-5
-4.930722,2024-02-20 03:15:02.202,CdRM-t0-bcc86b-5
-4.9098983,2024-02-20 03:20:02.202,CdRM-t0-bcc86b-5
-4.865868,2024-02-20 03:25:02.202,CdRM-t0-bcc86b-5
-4.842755,2024-02-20 03:30:02.202,CdRM-t0-bcc86b-5
-5.0293283,2024-02-20 03:35:02.202,CdRM-t0-bcc86b-5
-4.9183197,2024-02-20 03:40:02.202,CdRM-t0-bcc86b-5
-5.18254,2024-02-20 03:45:02.202,CdRM-t0-bcc86b-5
-5.745418,2024-02-20 03:50:02.202,CdRM-t0-bcc86b-5
-7.929882,2024-02-20 03:55:02.202,CdRM-t0-bcc86b-5
-7.842111,2024-02-20 04:00:02.202,CdRM-t0-bcc86b-5
-7.787318,2024-02-20 04:05:02.202,CdRM-t0-bcc86b-5
-5.870081,2024-02-20 04:10:02.202,CdRM-t0-bcc86b-5
-5.1943216,2024-02-20 04:15:02.202,CdRM-t0-bcc86b-5
-4.822584,2024-02-20 04:20:02.202,CdRM-t0-bcc86b-5
-5.382366,2024-02-20 04:25:02.202,CdRM-t0-bcc86b-5
-5.174146,2024-02-20 04:30:02.202,CdRM-t0-bcc86b-5
-4.8594027,2024-02-20 04:35:02.202,CdRM-t0-bcc86b-5
-5.1727757,2024-02-20 04:40:02.202,CdRM-t0-bcc86b-5
-5.3677,2024-02-20 04:45:02.202,CdRM-t0-bcc86b-5
-5.7422743,2024-02-20 04:50:02.202,CdRM-t0-bcc86b-5
-5.6799,2024-02-20 04:55:02.202,CdRM-t0-bcc86b-5
-5.1657624,2024-02-20 05:00:02.202,CdRM-t0-bcc86b-5
-6.9251013,2024-02-20 05:05:02.202,CdRM-t0-bcc86b-5
-5.6277614,2024-02-20 05:10:02.202,CdRM-t0-bcc86b-5
-4.6209793,2024-02-20 05:15:02.202,CdRM-t0-bcc86b-5
-4.6042867,2024-02-20 05:20:02.202,CdRM-t0-bcc86b-5
-5.353441,2024-02-20 05:25:02.202,CdRM-t0-bcc86b-5
-5.3808794,2024-02-20 05:30:02.202,CdRM-t0-bcc86b-5
-5.329622,2024-02-20 05:35:02.202,CdRM-t0-bcc86b-5
-6.3804,2024-02-20 05:40:02.202,CdRM-t0-bcc86b-5
-6.1263614,2024-02-20 05:45:02.202,CdRM-t0-bcc86b-5
-6.062086,2024-02-20 05:50:02.202,CdRM-t0-bcc86b-5
-6.6796565,2024-02-20 05:55:02.202,CdRM-t0-bcc86b-5
-6.1063585,2024-02-20 06:00:02.202,CdRM-t0-bcc86b-5
-6.2803903,2024-02-20 06:05:02.202,CdRM-t0-bcc86b-5
-6.0355096,2024-02-20 06:10:02.202,CdRM-t0-bcc86b-5
-5.49348,2024-02-20 06:15:02.202,CdRM-t0-bcc86b-5
-5.5990496,2024-02-20 06:20:02.202,CdRM-t0-bcc86b-5
-5.441023,2024-02-20 06:25:02.202,CdRM-t0-bcc86b-5
-6.203581,2024-02-20 06:30:02.202,CdRM-t0-bcc86b-5
-6.2182837,2024-02-20 06:35:02.202,CdRM-t0-bcc86b-5
-5.9714456,2024-02-20 06:40:02.202,CdRM-t0-bcc86b-5
-5.9408607,2024-02-20 06:45:02.202,CdRM-t0-bcc86b-5
-6.0739613,2024-02-20 06:50:02.202,CdRM-t0-bcc86b-5
-6.022898,2024-02-20 06:55:02.202,CdRM-t0-bcc86b-5
-6.057293,2024-02-20 07:00:02.202,CdRM-t0-bcc86b-5
-6.052695,2024-02-20 07:05:02.202,CdRM-t0-bcc86b-5
-5.8290586,2024-02-20 07:10:02.202,CdRM-t0-bcc86b-5
-6.0877576,2024-02-20 07:15:02.202,CdRM-t0-bcc86b-5
-5.9917774,2024-02-20 07:20:02.202,CdRM-t0-bcc86b-5
-6.07291,2024-02-20 07:25:02.202,CdRM-t0-bcc86b-5
-5.5352883,2024-02-20 07:30:02.202,CdRM-t0-bcc86b-5
-5.647921,2024-02-20 07:35:02.202,CdRM-t0-bcc86b-5
-6.2473636,2024-02-20 07:40:02.202,CdRM-t0-bcc86b-5
-6.216922,2024-02-20 07:45:02.202,CdRM-t0-bcc86b-5
-6.606359,2024-02-20 07:50:02.202,CdRM-t0-bcc86b-5
-7.8199363,2024-02-20 07:55:02.202,CdRM-t0-bcc86b-5
-8.046351,2024-02-20 08:00:02.202,CdRM-t0-bcc86b-5
-8.391727,2024-02-20 08:05:02.202,CdRM-t0-bcc86b-5
-8.756477,2024-02-20 08:10:02.202,CdRM-t0-bcc86b-5
-8.794864,2024-02-20 08:15:02.202,CdRM-t0-bcc86b-5
-8.922181,2024-02-20 08:20:02.202,CdRM-t0-bcc86b-5
-9.043614,2024-02-20 08:25:02.202,CdRM-t0-bcc86b-5
-8.792688,2024-02-20 08:30:02.202,CdRM-t0-bcc86b-5
-8.79809,2024-02-20 08:35:02.202,CdRM-t0-bcc86b-5
-8.724909,2024-02-20 08:40:02.202,CdRM-t0-bcc86b-5
-8.503053,2024-02-20 08:45:02.202,CdRM-t0-bcc86b-5
-8.140937,2024-02-20 08:50:02.202,CdRM-t0-bcc86b-5
-7.746396,2024-02-20 08:55:02.202,CdRM-t0-bcc86b-5
-7.2617397,2024-02-20 09:00:02.202,CdRM-t0-bcc86b-5
-7.383945,2024-02-20 09:05:02.202,CdRM-t0-bcc86b-5
-6.362444,2024-02-20 09:10:02.202,CdRM-t0-bcc86b-5
-6.172702,2024-02-20 09:15:02.202,CdRM-t0-bcc86b-5
-6.6793528,2024-02-20 09:20:02.202,CdRM-t0-bcc86b-5
-5.761342,2024-02-20 09:25:02.202,CdRM-t0-bcc86b-5
-4.701789,2024-02-20 09:30:02.202,CdRM-t0-bcc86b-5
-4.2037435,2024-02-20 09:35:02.202,CdRM-t0-bcc86b-5
-3.2611527,2024-02-20 09:40:02.202,CdRM-t0-bcc86b-5
-3.627151,2024-02-20 09:45:02.202,CdRM-t0-bcc86b-5
-3.6303153,2024-02-20 09:50:02.202,CdRM-t0-bcc86b-5
-3.304591,2024-02-20 09:55:02.202,CdRM-t0-bcc86b-5
-3.5984743,2024-02-20 10:00:02.202,CdRM-t0-bcc86b-5
-3.7425678,2024-02-20 10:05:02.202,CdRM-t0-bcc86b-5
-4.2882605,2024-02-20 10:10:02.202,CdRM-t0-bcc86b-5
-4.2593493,2024-02-20 10:15:02.202,CdRM-t0-bcc86b-5
-5.238841,2024-02-20 10:20:02.202,CdRM-t0-bcc86b-5
-4.9410043,2024-02-20 10:25:02.202,CdRM-t0-bcc86b-5
-6.507418,2024-02-20 10:30:02.202,CdRM-t0-bcc86b-5
-6.871783,2024-02-20 10:35:02.202,CdRM-t0-bcc86b-5
-6.2383003,2024-02-20 10:40:02.202,CdRM-t0-bcc86b-5
-6.0874248,2024-02-20 10:45:02.202,CdRM-t0-bcc86b-5
-5.6616855,2024-02-20 10:50:02.202,CdRM-t0-bcc86b-5
-5.135203,2024-02-20 10:55:02.202,CdRM-t0-bcc86b-5
-5.0968347,2024-02-20 11:00:02.202,CdRM-t0-bcc86b-5
-5.041745,2024-02-20 11:05:02.202,CdRM-t0-bcc86b-5
-4.605794,2024-02-20 11:10:02.202,CdRM-t0-bcc86b-5
-4.551786,2024-02-20 11:15:02.202,CdRM-t0-bcc86b-5
-4.927323,2024-02-20 11:20:02.202,CdRM-t0-bcc86b-5
-3.9039726,2024-02-20 11:25:02.202,CdRM-t0-bcc86b-5
-4.9964275,2024-02-20 11:30:02.202,CdRM-t0-bcc86b-5
-4.0320334,2024-02-20 11:35:02.202,CdRM-t0-bcc86b-5
-2.746813,2024-02-20 11:40:02.202,CdRM-t0-bcc86b-5
-2.1709769,2024-02-20 11:45:02.202,CdRM-t0-bcc86b-5
-2.6314683,2024-02-20 11:50:02.202,CdRM-t0-bcc86b-5
-2.457268,2024-02-20 11:55:02.202,CdRM-t0-bcc86b-5
-2.6271474,2024-02-20 12:00:02.202,CdRM-t0-bcc86b-5
-2.4713206,2024-02-20 12:05:02.202,CdRM-t0-bcc86b-5
-0.5545484,2024-02-20 12:10:02.202,CdRM-t0-bcc86b-5
-1.730362,2024-02-20 12:15:02.202,CdRM-t0-bcc86b-5
1.0180259,2024-02-20 12:20:02.202,CdRM-t0-bcc86b-5
2.2291603,2024-02-20 12:25:02.202,CdRM-t0-bcc86b-5
0.40880373,2024-02-20 12:30:02.202,CdRM-t0-bcc86b-5
2.6384428,2024-02-20 12:35:02.202,CdRM-t0-bcc86b-5
4.102858,2024-02-20 12:40:02.202,CdRM-t0-bcc86b-5
4.220208,2024-02-20 12:45:02.202,CdRM-t0-bcc86b-5
2.2713437,2024-02-20 12:50:02.202,CdRM-t0-bcc86b-5
2.1722927,2024-02-20 12:55:02.202,CdRM-t0-bcc86b-5
3.509298,2024-02-20 13:00:02.202,CdRM-t0-bcc86b-5
3.0404985,2024-02-20 13:05:02.202,CdRM-t0-bcc86b-5
2.0953584,2024-02-20 13:10:02.202,CdRM-t0-bcc86b-5
4.5127363,2024-02-20 13:15:02.202,CdRM-t0-bcc86b-5
2.6920927,2024-02-20 13:20:02.202,CdRM-t0-bcc86b-5
4.97204,2024-02-20 13:25:02.202,CdRM-t0-bcc86b-5
6.255748,2024-02-20 13:30:02.202,CdRM-t0-bcc86b-5
1.2045827,2024-02-20 13:35:02.202,CdRM-t0-bcc86b-5
-0.7380983,2024-02-20 13:40:02.202,CdRM-t0-bcc86b-5
2.211026,2024-02-20 13:45:02.202,CdRM-t0-bcc86b-5
3.058115,2024-02-20 13:50:02.202,CdRM-t0-bcc86b-5
3.3320246,2024-02-20 13:55:02.202,CdRM-t0-bcc86b-5
2.807106,2024-02-20 14:00:02.202,CdRM-t0-bcc86b-5
2.6872575,2024-02-20 14:05:02.202,CdRM-t0-bcc86b-5
2.413626,2024-02-20 14:10:02.202,CdRM-t0-bcc86b-5
0.5862751,2024-02-20 14:15:02.202,CdRM-t0-bcc86b-5
0.43224028,2024-02-20 14:20:02.202,CdRM-t0-bcc86b-5
1.2761256,2024-02-20 14:25:02.202,CdRM-t0-bcc86b-5
2.4020536,2024-02-20 14:30:02.202,CdRM-t0-bcc86b-5
3.9526541,2024-02-20 14:35:02.202,CdRM-t0-bcc86b-5
3.1004896,2024-02-20 14:40:02.202,CdRM-t0-bcc86b-5
2.3549266,2024-02-20 14:45:02.202,CdRM-t0-bcc86b-5
4.224463,2024-02-20 14:50:02.202,CdRM-t0-bcc86b-5
2.8380873,2024-02-20 14:55:02.202,CdRM-t0-bcc86b-5
3.1024086,2024-02-20 15:00:02.202,CdRM-t0-bcc86b-5
-0.7843904,2024-02-20 15:05:02.202,CdRM-t0-bcc86b-5
-1.2219198,2024-02-20 15:10:02.202,CdRM-t0-bcc86b-5
2.2119932,2024-02-20 15:15:02.202,CdRM-t0-bcc86b-5
0.74121535,2024-02-20 15:20:02.202,CdRM-t0-bcc86b-5
1.5064878,2024-02-20 15:25:02.202,CdRM-t0-bcc86b-5
2.738039,2024-02-20 15:30:02.202,CdRM-t0-bcc86b-5
3.1132872,2024-02-20 15:35:02.202,CdRM-t0-bcc86b-5
2.1549807,2024-02-20 15:40:02.202,CdRM-t0-bcc86b-5
3.2105465,2024-02-20 15:45:02.202,CdRM-t0-bcc86b-5
3.1515324,2024-02-20 15:50:02.202,CdRM-t0-bcc86b-5
-1.061204,2024-02-20 15:55:02.202,CdRM-t0-bcc86b-5
0.7170152,2024-02-20 16:00:02.202,CdRM-t0-bcc86b-5
3.0149639,2024-02-20 16:05:02.202,CdRM-t0-bcc86b-5
1.1979362,2024-02-20 16:10:02.202,CdRM-t0-bcc86b-5
0.42227185,2024-02-20 16:15:02.202,CdRM-t0-bcc86b-5
2.5497153,2024-02-20 16:20:02.202,CdRM-t0-bcc86b-5
4.0440464,2024-02-20 16:25:02.202,CdRM-t0-bcc86b-5
2.3705988,2024-02-20 16:30:02.202,CdRM-t0-bcc86b-5
-5.1345096,2024-02-20 16:35:02.202,CdRM-t0-bcc86b-5
-2.7420342,2024-02-20 16:40:02.202,CdRM-t0-bcc86b-5
-0.27284813,2024-02-20 16:45:02.202,CdRM-t0-bcc86b-5
1.7917805,2024-02-20 16:50:02.202,CdRM-t0-bcc86b-5
2.6660624,2024-02-20 16:55:02.202,CdRM-t0-bcc86b-5
3.54706,2024-02-20 17:00:02.202,CdRM-t0-bcc86b-5
4.3675356,2024-02-20 17:05:02.202,CdRM-t0-bcc86b-5
4.796824,2024-02-20 17:10:02.202,CdRM-t0-bcc86b-5
5.030596,2024-02-20 17:15:02.202,CdRM-t0-bcc86b-5
5.6089206,2024-02-20 17:20:02.202,CdRM-t0-bcc86b-5
6.332495,2024-02-20 17:25:02.202,CdRM-t0-bcc86b-5
6.81434,2024-02-20 17:30:02.202,CdRM-t0-bcc86b-5
7.8252897,2024-02-20 17:35:02.202,CdRM-t0-bcc86b-5
8.0709915,2024-02-20 17:40:02.202,CdRM-t0-bcc86b-5
7.695728,2024-02-20 17:45:02.202,CdRM-t0-bcc86b-5
7.48992,2024-02-20 17:50:02.202,CdRM-t0-bcc86b-5
7.1570945,2024-02-20 17:55:02.202,CdRM-t0-bcc86b-5
7.0553856,2024-02-20 18:00:02.202,CdRM-t0-bcc86b-5
6.9300604,2024-02-20 18:05:02.202,CdRM-t0-bcc86b-5
6.7187285,2024-02-20 18:10:02.202,CdRM-t0-bcc86b-5
6.7272015,2024-02-20 18:15:02.202,CdRM-t0-bcc86b-5
6.9096155,2024-02-20 18:20:02.202,CdRM-t0-bcc86b-5
6.8899703,2024-02-20 18:25:02.202,CdRM-t0-bcc86b-5
7.0324006,2024-02-20 18:30:02.202,CdRM-t0-bcc86b-5
3.2572446,2024-02-20 18:35:02.202,CdRM-t0-bcc86b-5
4.436111,2024-02-20 18:40:02.202,CdRM-t0-bcc86b-5
5.6231184,2024-02-20 18:45:02.202,CdRM-t0-bcc86b-5
6.2859554,2024-02-20 18:50:02.202,CdRM-t0-bcc86b-5
6.340614,2024-02-20 18:55:02.202,CdRM-t0-bcc86b-5
5.3107953,2024-02-20 18:59:59.998,CdRM-t0-bcc86b-5
5.021532,2024-02-20 19:05:00.000,CdRM-t0-bcc86b-5
6.622597,2024-02-20 19:10:00.000,CdRM-t0-bcc86b-5
6.542939,2024-02-20 19:15:00.000,CdRM-t0-bcc86b-5
3.2307072,2024-02-20 19:20:00.000,CdRM-t0-bcc86b-5
3.8224583,2024-02-20 19:25:00.000,CdRM-t0-bcc86b-5
4.674606,2024-02-20 19:30:00.000,CdRM-t0-bcc86b-5
5.193982,2024-02-20 19:35:00.000,CdRM-t0-bcc86b-5
5.556943,2024-02-20 19:40:00.000,CdRM-t0-bcc86b-5
6.1039805,2024-02-20 19:45:00.000,CdRM-t0-bcc86b-5
6.3072424,2024-02-20 19:50:00.000,CdRM-t0-bcc86b-5
6.292413,2024-02-20 19:55:00.000,CdRM-t0-bcc86b-5
4.3733034,2024-02-20 20:00:00.000,CdRM-t0-bcc86b-5
2.3501208,2024-02-20 20:05:00.000,CdRM-t0-bcc86b-5
5.1283035,2024-02-20 20:10:00.000,CdRM-t0-bcc86b-5
5.561875,2024-02-20 20:15:00.000,CdRM-t0-bcc86b-5
5.039075,2024-02-20 20:20:00.000,CdRM-t0-bcc86b-5
4.800756,2024-02-20 20:25:00.000,CdRM-t0-bcc86b-5
4.543636,2024-02-20 20:30:00.000,CdRM-t0-bcc86b-5
4.6190896,2024-02-20 20:35:00.000,CdRM-t0-bcc86b-5
5.0386834,2024-02-20 20:40:00.000,CdRM-t0-bcc86b-5
5.1435857,2024-02-20 20:45:00.000,CdRM-t0-bcc86b-5
5.4898267,2024-02-20 20:50:00.000,CdRM-t0-bcc86b-5
5.867446,2024-02-20 20:55:00.000,CdRM-t0-bcc86b-5
6.0478873,2024-02-20 21:00:00.000,CdRM-t0-bcc86b-5
6.268842,2024-02-20 21:05:00.000,CdRM-t0-bcc86b-5
5.5609374,2024-02-20 21:10:00.000,CdRM-t0-bcc86b-5
3.9524393,2024-02-20 21:15:00.000,CdRM-t0-bcc86b-5
3.1916611,2024-02-20 21:20:00.000,CdRM-t0-bcc86b-5
4.161414,2024-02-20 21:25:00.000,CdRM-t0-bcc86b-5
4.207551,2024-02-20 21:30:00.000,CdRM-t0-bcc86b-5
4.687971,2024-02-20 21:35:00.000,CdRM-t0-bcc86b-5
5.1697364,2024-02-20 21:40:00.000,CdRM-t0-bcc86b-5
5.527361,2024-02-20 21:45:00.000,CdRM-t0-bcc86b-5
1.4319555,2024-02-20 21:50:00.000,CdRM-t0-bcc86b-5
1.0172104,2024-02-20 21:55:00.000,CdRM-t0-bcc86b-5
2.2420459,2024-02-20 22:00:00.000,CdRM-t0-bcc86b-5
3.2269197,2024-02-20 22:05:00.000,CdRM-t0-bcc86b-5
3.9683363,2024-02-20 22:10:00.000,CdRM-t0-bcc86b-5
4.6172357,2024-02-20 22:15:00.000,CdRM-t0-bcc86b-5
5.4457984,2024-02-20 22:20:00.000,CdRM-t0-bcc86b-5
4.8842835,2024-02-20 22:25:00.000,CdRM-t0-bcc86b-5
3.0795026,2024-02-20 22:30:00.000,CdRM-t0-bcc86b-5
4.373675,2024-02-20 22:35:00.000,CdRM-t0-bcc86b-5
-2.3210967,2024-02-20 22:40:00.000,CdRM-t0-bcc86b-5
-2.434437,2024-02-20 22:45:00.000,CdRM-t0-bcc86b-5
-0.14235839,2024-02-20 22:50:00.000,CdRM-t0-bcc86b-5
2.264955,2024-02-20 22:55:00.000,CdRM-t0-bcc86b-5
3.0096452,2024-02-20 23:00:00.000,CdRM-t0-bcc86b-5
3.5290806,2024-02-20 23:05:00.000,CdRM-t0-bcc86b-5
3.8412743,2024-02-20 23:10:00.000,CdRM-t0-bcc86b-5
4.040506,2024-02-20 23:15:00.000,CdRM-t0-bcc86b-5
4.031313,2024-02-20 23:20:00.000,CdRM-t0-bcc86b-5
1.2664764,2024-02-20 23:25:00.000,CdRM-t0-bcc86b-5
-0.43585578,2024-02-20 23:30:00.000,CdRM-t0-bcc86b-5
