mV,timestamp,plant_id
-4.364543,2024-02-19 19:05:00.000,CdRM-t0-bcc86b-6
-4.787996,2024-02-19 19:10:00.000,CdRM-t0-bcc86b-6
-4.7020416,2024-02-19 19:15:00.000,CdRM-t0-bcc86b-6
-4.45136,2024-02-19 19:20:00.000,CdRM-t0-bcc86b-6
-4.6819906,2024-02-19 19:25:00.000,CdRM-t0-bcc86b-6
-4.776132,2024-02-19 19:30:00.000,CdRM-t0-bcc86b-6
-4.734051,2024-02-19 19:35:00.000,CdRM-t0-bcc86b-6
-5.010934,2024-02-19 19:40:00.000,CdRM-t0-bcc86b-6
-5.79416,2024-02-19 19:45:00.000,CdRM-t0-bcc86b-6
-7.28277,2024-02-19 19:50:00.000,CdRM-t0-bcc86b-6
-6.0811234,2024-02-19 19:55:00.000,CdRM-t0-bcc86b-6
-4.6802073,2024-02-19 20:00:00.000,CdRM-t0-bcc86b-6
-4.3080125,2024-02-19 20:05:00.000,CdRM-t0-bcc86b-6
-4.2955866,2024-02-19 20:10:00.000,CdRM-t0-bcc86b-6
-4.099666,2024-02-19 20:15:00.000,CdRM-t0-bcc86b-6
-4.1155453,2024-02-19 20:20:00.000,CdRM-t0-bcc86b-6
-4.1222157,2024-02-19 20:25:00.000,CdRM-t0-bcc86b-6
-4.152659,2024-02-19 20:30:00.000,CdRM-t0-bcc86b-6
-4.081096,2024-02-19 20:35:00.000,CdRM-t0-bcc86b-6
-4.100765,2024-02-19 20:40:00.000,CdRM-t0-bcc86b-6
-4.1154885,2024-02-19 20:45:00.000,CdRM-t0-bcc86b-6
-3.9880319,2024-02-19 20:50:00.000,CdRM-t0-bcc86b-6
-3.958844,2024-02-19 20:55:00.000,CdRM-t0-bcc86b-6
-3.8810863,2024-02-19 21:00:00.000,CdRM-t0-bcc86b-6
-4.1286473,2024-02-19 21:05:00.000,CdRM-t0-bcc86b-6
-4.2703495,2024-02-19 21:10:00.000,CdRM-t0-bcc86b-6
-4.081995,2024-02-19 21:15:00.000,CdRM-t0-bcc86b-6
-4.278494,2024-02-19 21:20:00.000,CdRM-t0-bcc86b-6
-3.799021,2024-02-19 21:25:00.000,CdRM-t0-bcc86b-6
-3.3277576,2024-02-19 21:30:00.000,CdRM-t0-bcc86b-6
-3.2005413,2024-02-19 21:35:00.000,CdRM-t0-bcc86b-6
-2.9676394,2024-02-19 21:40:00.000,CdRM-t0-bcc86b-6
-2.9914215,2024-02-19 21:45:00.000,CdRM-t0-bcc86b-6
-2.9586039,2024-02-19 21:50:00.000,CdRM-t0-bcc86b-6
-2.7496848,2024-02-19 21:55:00.000,CdRM-t0-bcc86b-6
-2.753594,2024-02-19 22:00:00.000,CdRM-t0-bcc86b-6
-2.6429498,2024-02-19 22:05:00.000,CdRM-t0-bcc86b-6
-2.7384527,2024-02-19 22:10:00.000,CdRM-t0-bcc86b-6
-2.6497526,2024-02-19 22:15:00.000,CdRM-t0-bcc86b-6
-2.5890458,2024-02-19 22:20:00.000,CdRM-t0-bcc86b-6
-2.491298,2024-02-19 22:25:00.000,CdRM-t0-bcc86b-6
-2.436701,2024-02-19 22:30:00.000,CdRM-t0-bcc86b-6
-2.4386423,2024-02-19 22:35:00.000,CdRM-t0-bcc86b-6
-2.6166432,2024-02-19 22:40:00.000,CdRM-t0-bcc86b-6
-2.5617218,2024-02-19 22:45:00.000,CdRM-t0-bcc86b-6
-2.5284839,2024-02-19 22:50:00.000,CdRM-t0-bcc86b-6
-2.466572,2024-02-19 22:55:00.000,CdRM-t0-bcc86b-6
-2.4340036,2024-02-19 23:00:00.000,CdRM-t0-bcc86b-6
-2.4021966,2024-02-19 23:05:00.000,CdRM-t0-bcc86b-6
-2.3120818,2024-02-19 23:10:00.000,CdRM-t0-bcc86b-6
-2.368838,2024-02-19 23:15:00.000,CdRM-t0-bcc86b-6
-2.2229536,2024-02-19 23:20:00.000,CdRM-t0-bcc86b-6
-2.1862068,2024-02-19 23:25:00.000,CdRM-t0-bcc86b-6
